id,track_name,n_citacoes,size_bytes,price,prime_genre
202,Spotify Music,100,132510720,0,Music
270,SoundCloud - Music & Audio,100,105009152,0,Music
1431,Smule Sing!,100,109940736,0,Music
8,Pandora - Music & Radio,100,130242560,0,Music
1438,Amazon Music,100,77778944,0,Music
40,iHeartRadio – Free Music & Radio Stations,2,116443136,0,Music
816,Magic Piano by Smule,1,55030784,0,Music
20,"Shazam - Discover music, artists, videos & lyrics",0,147093504,0,Music
93,"Kindle – Read eBooks, Magazines & Textbooks",0,169747456,0,Book
803,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,0,101735424,0,Music
